id,name,type,type_id
1,Jorge Mori,Featured Artist,1
2,Grupo Guanabara ,Art Schools ,2
3,Seibi-kai,Art Schools ,2
4,Yoshiya Takaoka,Mentors & Contemporaries,3
5,Tomoo Handa,Mentors & Contemporaries,3
6,Walter Shigeto Tanaka,Mentors & Contemporaries,3
7,Kenjiro Masuda,Mentors & Contemporaries,3
8,Arcanjo Ianelli,Mentors & Contemporaries,3
9,Grupo Santa Helena,Art Schools ,2
10,Mário Zanini,Mentors & Contemporaries,3
11,Francisco Rebolo ,Mentors & Contemporaries,3
12,Fúlvio Pennachi,Mentors & Contemporaries,3
13,Clóvis Graciano ,Mentors & Contemporaries,3
14,Ukiyo-ê,Movements and Styles ,4
15,Escola Profissional Masculina no Brás ,Art Institutions,5
16,"Escola de Belas Artes, SP",Art Institutions,5
17,Paulo Vergueiro Lopes de Leão ,Mentors & Contemporaries,3
18,Mário de Andrade,Mentors & Contemporaries,3
19,Salão de Maio,Art Exhibitions ,6
20,Manabu Mabe,Mentors & Contemporaries,3
21,Masato Aki,Mentors & Contemporaries,3
22,Teiiti Suzuki,Mentors & Contemporaries,3
23,Hideomi Ohara,Mentors & Contemporaries,3
24,Wega Nery,Mentors & Contemporaries,3
25,Athayde de Barros ,Mentors & Contemporaries,3
26,Geraldo de Barros,Mentors & Contemporaries,3
27,Fang,Mentors & Contemporaries,3
28,Irene Keller,Mentors & Contemporaries,3
29,Claudia Scatamacchia ,Mentors & Contemporaries,3
30,Amélia Toledo ,Mentors & Contemporaries,3
31,Jandyra Waters,Mentors & Contemporaries,3
32,Antônio Carelli,Mentors & Contemporaries,3
33,Paris,Movements and Styles ,4
34,Flávio Shiró,Mentors & Contemporaries,3
35,Yuji Tamaki,Mentors & Contemporaries,3
36,Kiyoji Tomioka,Mentors & Contemporaries,3
37,Hajime Higaki,Mentors & Contemporaries,3
38,Kichizaemon Takahashi,Mentors & Contemporaries,3
39,Iwakichi Yamamoto,Mentors & Contemporaries,3
40,Quirino da Silva,Art Exhibitions ,6
41,Geraldo Ferraz,Art Exhibitions ,6
42,School of Paris,Art Schools ,2
43,Brazilian Modernism,Movements and Styles ,4
44,Anita Malfatti,Mentors & Contemporaries,3
45,Tarsila do Amaral,Mentors & Contemporaries,3
46,Emiliano de Cavalcanti ,Mentors & Contemporaries,3
47,Lasar Segall,Mentors & Contemporaries,3
48,Futurism,Movements and Styles ,4
49,School of Fine Arts Kyoto,Art Institutions,5
50,Massami Tanaka,Mentors & Contemporaries,3
51,Massao Okinaka,Mentors & Contemporaries,3
52,Mitsuo Toda,Mentors & Contemporaries,3
53,Takeshi Suzuki,Mentors & Contemporaries,3
54,Minoru Watanabe,Mentors & Contemporaries,3
55,Kazuo Tsumori,Mentors & Contemporaries,3
56,Tomie Ohtake,Mentors & Contemporaries,3
57,Alina Okinaka,Mentors & Contemporaries,3
58,Kazuo Wakabayashi,Mentors & Contemporaries,3
59,Bin Kondo,Mentors & Contemporaries,3
60,Tsukika Okayama,Mentors & Contemporaries,3
61,Sachiko Koshikoku,Mentors & Contemporaries,3
62,Hisao Sakakibara,Mentors & Contemporaries,3
63,Yutaka Toyota,Mentors & Contemporaries,3
64,Hisao Ohara,Mentors & Contemporaries,3
65,Ken'ichi Kaneko,Mentors & Contemporaries,3
66,Masumi Tsuchimoto,Mentors & Contemporaries,3
67,Mari Yoshimoto,Mentors & Contemporaries,3
68,Tomoshige Kusuno,Mentors & Contemporaries,3
69,Tikashi Fukushima,Mentors & Contemporaries,3
70,Grupo Bernardelli,Art Schools ,2
71,Grupo dos 15 (Jacaré),Art Schools ,2
72,Galeria Domus,Art Exhibitions ,6
73,Antonieta de Souza Barros,Mentors & Contemporaries,3
74,Dalila Francisca de Oliveira Fleury,Mentors & Contemporaries,3
75,Joaninha Cunha Bueno,Mentors & Contemporaries,3
76,Cândido Portinari,Mentors & Contemporaries,3
77,Antônio Gomide,Mentors & Contemporaries,3
78,Abstractionism,Movements and Styles ,4
79,Alzira Pecorari,Mentors & Contemporaries,3
80,Jacira,Mentors & Contemporaries,3
81,Marjô (Maria José Calheiros de Mattos),Mentors & Contemporaries,3
82,Harmand (Armando Pecorari),Mentors & Contemporaries,3
83,Cubism,Mentors & Contemporaries,3
84,Expressionism,Mentors & Contemporaries,3
85,Emiliano de Cavalcanti,Mentors & Contemporaries,3